CPU name,cpu bench (higher = better)
Intel Xeon Platinum 8375C @ 2.90GHz,"55,705"
AMD EPYC 9174F,"55,485"
AMD Ryzen 9 7945HX,"55,066"
AMD Ryzen Threadripper 3960X,"54,856"
Intel Xeon Platinum 8358 @ 2.60GHz,"54,416"
Intel Xeon w7-2475X,"54,097"
Intel Xeon Platinum 8360Y @ 2.40GHz,"54,078"
Intel Core i7-14700K,"53,663"
Intel Core i7-14700KF,"53,428"
AMD EPYC 8324P,"53,373"
AMD EPYC 7532,"53,051"
Intel Xeon Gold 6438N,"52,789"
Intel Xeon Gold 6348 @ 2.60GHz,"52,276"
Intel Xeon Gold 5412U,"52,180"
Intel Core i9-14900F,"52,059"
AMD Ryzen 9 7900X,"51,934"
Intel Core i9-13900F,"51,852"
AMD EPYC 7F72,"51,829"
AMD EPYC 7552,"51,104"
AMD Ryzen Threadripper PRO 7945WX,"50,670"
AMD EPYC 7453,"50,575"
AMD Ryzen 9 7900X3D,"50,407"
AMD EPYC 9184X,"50,344"
AMD EPYC 7502P,"50,298"
AMD EPYC 7413,"50,223"
AMD Ryzen Threadripper PRO 5955WX,"49,998"
Intel Core i9-14900,"49,464"
Intel Xeon Platinum 8347C @ 2.10GHz,"49,386"
Apple M2 Ultra 24 Core,"49,269"
AMD EPYC 7K62,"49,104"
AMD EPYC 7R12,"48,934"
AMD Ryzen 9 7900,"48,855"
Intel Xeon Gold 6314U @ 2.30GHz,"48,013"
AMD EPYC 7452,"47,951"
AMD Ryzen 9 PRO 7945,"47,938"
Intel Core i9-13900,"47,916"
Intel Core i9-13980HX,"47,660"
AMD EPYC 7542,"47,626"
Intel Xeon Gold 6342 @ 2.80GHz,"47,320"
Intel Core i9-14900HX,"47,137"
AMD EPYC 7502,"47,021"
Intel Core i7-14700,"46,820"
Intel Xeon w5-3435X,"46,616"
Intel Core i7-13700K,"46,570"
Intel Core i7-13700KF,"46,391"
AMD EPYC 7402,"46,232"
Intel Xeon w5-2465X,"46,197"
AMD Ryzen 9 7845HX,"46,148"
Intel Core i7-13790F,"46,110"
AMD EPYC 73F3,"46,103"
Intel Xeon W-3345 @ 3.00GHz,"45,694"
AMD Ryzen 9 5950X,"45,683"
Intel Xeon Gold 6336Y @ 2.40GHz,"45,517"
Intel Core i7-14700F,"45,176"
Intel Xeon Silver 4416+,"45,127"
Intel Xeon Gold 6538N,"44,895"
Intel Core i9-13900HX,"44,645"
Intel Core i9-13900T,"44,412"
Intel Core i9-13950HX,"44,401"
AMD EPYC 7343,"44,189"
Intel Core i9-12900KS,"44,160"
AMD EPYC 9124,"43,999"
AMD EPYC 8224P,"43,782"
Intel Core i9-14900T,"43,527"
ARM Neoverse-N1 128 Core 3000 MHz,"43,229"
ARM Neoverse-N1 128 Core 2800 MHz,"43,111"
AMD EPYC 7402P,"43,091"
Intel Xeon Gold 6330 @ 2.00GHz,"43,056"
AMD EPYC 7D12,"42,762"
Intel Xeon Gold 6338N @ 2.20GHz,"42,552"
Intel Xeon Gold 6312U @ 2.40GHz,"42,124"
AMD EPYC 7313P,"42,032"
Intel Xeon Gold 6426Y,"41,625"
Intel Xeon w7-3445,"41,588"
Intel Xeon W-3275 @ 2.50GHz,"41,554"
Intel Xeon Gold 6354 @ 3.00GHz,"41,445"
Intel Core i9-12900K,"41,360"
Intel Core i9-12900KF,"41,163"
Apple M1 Ultra 20 Core,"40,990"
Intel Xeon Platinum 8275CL @ 3.00GHz,"40,794"
AMD Ryzen Threadripper PRO 5945WX,"40,670"
Intel Xeon Gold 6416H,"40,606"
AMD Ryzen Threadripper PRO 3955WX,"40,374"
Apple M3 Max 16 Core,"40,166"
AMD EPYC 7352,"40,096"
AMD EPYC 7F52,"39,923"
Intel Core i7-14650HX,"39,645"
Intel Core i5-14600KF,"39,366"
Intel Xeon W-3335 @ 3.40GHz,"39,293"
Intel Core i5-14600K,"39,292"
Intel Core i7-13700F,"39,263"
AMD Ryzen 9 5900X,"39,196"
AMD EPYC 7313,"39,091"
AMD Ryzen 9 3950X,"38,815"
Intel Xeon W-3275M @ 2.50GHz,"38,622"
AMD EPYC 7551P,"38,371"
Intel Xeon Platinum 8180 @ 2.50GHz,"38,259"
Intel Core i5-13600K,"38,145"
Intel Core i7-13850HX,"38,117"
Intel Core i5-13600KF,"37,948"
Intel Xeon w5-2455X,"37,867"
Intel Xeon Gold 6346 @ 3.10GHz,"37,722"
Intel Core i7-13700,"37,695"
Intel Xeon Gold 5320 @ 2.20GHz,"37,558"
Intel Xeon Gold 6238R @ 2.20GHz,"37,511"
Intel Core i7-14700HX,"37,270"
Intel Xeon W-3175X @ 3.10GHz,"37,167"
Intel Core i9-12900F,"36,971"
Intel Xeon Gold 6268CL @ 2.80GHz,"36,878"
Intel Xeon Gold 5416S,"36,735"
Intel Xeon w5-3425,"36,457"
ARM Neoverse-N1 80 Core 3000 MHz,"36,435"
Intel Xeon Gold 6330N @ 2.20GHz,"36,360"
Intel Core i5-14600,"36,251"
AMD Ryzen 7 7700X,"36,028"
Apple M3 Max 14 Core,"35,899"
AMD EPYC 8124P,"35,766"
Intel Xeon Gold 6248R @ 3.00GHz,"35,626"
Intel Xeon Gold 6326 @ 2.90GHz,"35,224"
Intel Core i9-12900TE,"35,057"
Intel Xeon Gold 6242R @ 3.10GHz,"34,963"
AMD Ryzen 7 PRO 7745,"34,767"
AMD Ryzen 9 PRO 5945,"34,756"
Intel Core i7-13700E,"34,728"
Intel Core i7-12700K,"34,658"
Intel Core i9-12900HX,"34,636"
AMD Ryzen 7 7700,"34,602"
Intel Xeon Platinum 8268 @ 2.90GHz,"34,483"
Intel Core i7-12700KF,"34,462"
AMD Ryzen 9 5900,"34,392"
AMD Ryzen 7 7800X3D,"34,389"
Intel Core i9-12900,"34,363"
Intel Core i7-13700HX,"34,093"
AMD EPYC 7601,"34,079"
Intel Core i9-13900E,"34,049"
Intel Xeon Platinum 8260M @ 2.30GHz,"33,970"
Intel Xeon Gold 6338 @ 2.00GHz,"33,814"
Intel Xeon D-2799 @ 2.40GHz,"33,792"
Intel Xeon Gold 6230R @ 2.10GHz,"33,724"
AMD Ryzen Threadripper PRO 3945WX,"33,506"
Intel Xeon Gold 5220R @ 2.20GHz,"33,370"
Intel Xeon Gold 6240R @ 2.40GHz,"33,353"
Intel Xeon Gold 5318Y @ 2.10GHz,"33,283"
AMD EPYC 7302,"33,002"
Intel Core i9-10980XE @ 3.00GHz,"32,868"
Intel Xeon Gold 6278C @ 2.60GHz,"32,835"
Intel Xeon Platinum 8168 @ 2.70GHz,"32,811"
Intel Xeon Platinum 8280 @ 2.70GHz,"32,781"
AMD Ryzen 7 7745HX,"32,763"
AMD Ryzen 9 3900XT,"32,739"
Intel Core i5-13600,"32,689"
AMD Ryzen 9 3900X,"32,663"
Intel Core i5-14500,"32,643"
AMD EPYC 7302P,"32,612"
Intel Core i7-12800HX,"32,595"
AMD Ryzen Threadripper 2990WX,"32,501"
Intel Core i9-12950HX,"32,462"
Intel Xeon w5-2445,"32,316"
Intel Core i9-9980XE @ 3.00GHz,"32,054"
Intel Core i5-13500,"32,038"
Intel Xeon W-3265M @ 2.70GHz,"32,025"
Intel Core i7-13650HX,"31,886"
Intel Xeon Platinum 8173M @ 2.00GHz,"31,837"
AMD Ryzen 7 8700G,"31,690"
AMD Ryzen 9 8945H,"31,671"
AMD Ryzen 9 PRO 3900,"31,609"
Intel Xeon Silver 4316 @ 2.30GHz,"31,341"
Intel Core i9-13900HK,"31,310"
Intel Xeon Platinum 8259CL @ 2.50GHz,"31,142"
AMD EPYC 7371,"31,094"
Intel Core i7-12700,"30,838"
AMD Ryzen 9 3900,"30,836"
Intel Core i7-12850HX,"30,761"
Intel Xeon W-2295 @ 3.00GHz,"30,721"
AMD Ryzen 9 8945HS,"30,718"
AMD Ryzen 9 7940H,"30,710"
Intel Core i7-12700F,"30,664"
Intel Core i9-13905H,"30,637"
Intel Xeon Platinum 8171M @ 2.60GHz,"30,632"
Intel Core i9-9960X @ 3.10GHz,"30,618"
Intel Xeon W-3245 @ 3.20GHz,"30,551"
AMD EPYC Embedded 7292P,"30,542"
AMD Ryzen 9 7940HS,"30,518"
Intel Xeon Gold 6246R @ 3.40GHz,"30,468"
Intel Xeon Gold 6254 @ 3.10GHz,"30,381"
Intel Xeon E-2488,"30,368"
Intel Xeon Platinum 8260 @ 2.40GHz,"30,347"
Intel Core i9-7980XE @ 2.60GHz,"30,217"
Intel Core Ultra 7 165H,"30,205"
Intel Core i9-9990XE @ 4.00GHz,"30,162"
Intel Core i9-12900T,"30,113"
Intel Xeon W-3265 @ 2.70GHz,"30,105"
AMD Ryzen 7 8845H,"30,037"
Intel Xeon Platinum 8270 @ 2.70GHz,"29,986"
AMD Ryzen Threadripper 2970WX,"29,949"
AMD Ryzen 7 8845HS,"29,817"
Intel Core i7-12800HE,"29,805"
AMD EPYC 7282,"29,615"
Intel Xeon Gold 6248 @ 2.50GHz,"29,504"
Intel Core i7-12700E,"29,384"
AMD Ryzen Threadripper 2950X,"29,384"
Intel Xeon Silver 4314 @ 2.40GHz,"29,346"
Intel Core i5-13600HX,"29,322"
Intel Core i9-13900H,"29,235"
Intel Xeon w5-3423,"29,024"
AMD Ryzen 7 7840HS,"29,001"
Intel Xeon Gold 6148 @ 2.40GHz,"28,999"
Intel Xeon Gold 6210U @ 2.50GHz,"28,915"
Intel Core i5-13500HX,"28,865"
Intel Xeon Silver 4410T,"28,859"
Intel Xeon W-2191B @ 2.30GHz,"28,803"
Intel Core i9-7960X @ 2.80GHz,"28,754"
Intel Xeon Gold 6238 @ 2.10GHz,"28,668"
Intel Xeon Gold 6154 @ 3.00GHz,"28,632"
AMD Ryzen 5 7600X,"28,585"
Intel Xeon Gold 6253CL @ 3.10GHz,"28,549"
AMD Ryzen 7 7840H,"28,500"
Intel Xeon D-2795NT @ 2.00GHz,"28,463"
AMD Ryzen 7 5800X3D,"28,305"
AMD Ryzen 9 PRO 7940HS,"28,300"
AMD EPYC 7401P,"28,293"
Intel Core i9-12900H,"28,211"
ARM Neoverse-N1 64 Core 0 MHz,"28,064"
Intel Core i9-9940X @ 3.30GHz,"28,059"
Intel Core i5-13500E,"28,036"
Intel Xeon W-2195 @ 2.30GHz,"28,001"
Intel Xeon Platinum 8160 @ 2.10GHz,"27,968"
Intel Core i9-12900HK,"27,943"
AMD Ryzen 7 5800X,"27,918"
Intel Xeon W-2275 @ 3.30GHz,"27,889"
Intel Core i9-10940X @ 3.30GHz,"27,860"
Intel Core Ultra 9 185H,"27,822"
Intel Core i7-13700T,"27,749"
Intel Core i5-12600K,"27,746"
AMD Ryzen Threadripper 1950X,"27,632"
AMD Ryzen Threadripper 2990X,"27,606"
Intel Core i5-13490F,"27,539"
Intel Xeon Gold 6212U @ 2.40GHz,"27,470"
AMD EPYC 7571,"27,445"
Intel Core i7-13700H,"27,423"
Intel Core i5-12600KF,"27,414"
Intel Xeon Gold 5317 @ 3.00GHz,"27,387"
Intel Xeon Gold 6150 @ 2.70GHz,"27,337"
Intel Xeon Platinum 8124M @ 3.00GHz,"27,336"
Intel Xeon D-2775TE @ 2.00GHz,"27,299"
Intel Core i7-13800H,"27,291"
AMD EPYC 72F3,"27,252"
AMD Ryzen 5 7600,"27,251"
AMD Ryzen 5 PRO 7645,"27,250"
Apple M3 Pro 12 Core,"27,238"
Intel Xeon Gold 6252 @ 2.10GHz,"27,148"
Intel Xeon Gold 6208U @ 2.90GHz,"27,085"
Intel Xeon Gold 6230 @ 2.10GHz,"27,069"
Intel Xeon w3-2435,"26,946"
AMD Ryzen 5 7500F,"26,943"
AMD Ryzen 5 7645HX,"26,868"
Intel Core i5-14400,"26,819"
Intel Xeon W-3245M @ 3.20GHz,"26,814"
AMD Ryzen 7 5700X,"26,717"
Intel Xeon Platinum 8175M @ 2.50GHz,"26,659"
AMD Ryzen 7 5700X3D,"26,601"
Intel Xeon D-2796TE @ 2.00GHz,"26,342"
Apple M2 Max 12 Core 3680 MHz,"26,310"
Intel Xeon Gold 6226R @ 2.90GHz,"26,297"
Intel Core i9-10920X @ 3.50GHz,"26,295"
Intel Xeon Gold 6242 @ 2.80GHz,"26,288"
Apple M2 Pro 12 Core 3480 MHz,"26,279"
Intel Core i7-12700H,"26,272"
AMD Ryzen 7 PRO 7840HS,"26,115"
Intel Xeon W-2265 @ 3.50GHz,"26,115"
AMD Ryzen 7 PRO 5845,"26,057"
Intel Core i9-7940X @ 3.10GHz,"25,966"
Intel Core i9-12900E,"25,921"
Intel Xeon W-3323 @ 3.50GHz,"25,875"
AMD EPYC 7451,"25,863"
AMD Ryzen 7 5800,"25,844"
Intel Core i5-13600T,"25,834"
Intel Core i7-13620H,"25,819"
Intel Core i5-14400F,"25,800"
Intel Xeon W-3235 @ 3.30GHz,"25,789"
AMD EPYC 7351P,"25,657"
Intel Xeon E5-2698R v4 @ 2.20GHz,"25,605"
AMD Ryzen Z1 Extreme,"25,569"
AMD EPYC 7272,"25,568"
AMD Ryzen 7 7840S,"25,511"
Intel Xeon Gold 6142 @ 2.60GHz,"25,490"
Intel Xeon E5-2699 v4 @ 2.20GHz,"25,422"
Intel Xeon W-1390P @ 3.50GHz,"25,419"
Intel Core i5-13600H,"25,417"
Intel Xeon Platinum 8167M @ 2.00GHz,"25,396"
Intel Core i9-11900K @ 3.50GHz,"25,326"
AMD Ryzen Threadripper 2920X,"25,273"
Intel Core i5-13400F,"25,271"
Intel Core i9-11900KF @ 3.50GHz,"25,261"
Intel Core Ultra 7 155H,"25,226"
Intel Core i9-9920X @ 3.50GHz,"25,203"
Intel Core i5-13450HX,"25,166"
AMD Ryzen 5 8600G,"25,151"
AMD Ryzen 7 7840U,"25,036"
Intel Xeon Gold 5415+,"25,012"
Intel Xeon E5-2699A v4 @ 2.40GHz,"25,000"
Intel Core i7-12800H,"24,965"
Intel Core i5-13400,"24,932"
AMD EPYC 7501,"24,925"
AMD Ryzen 9 6900HX,"24,870"
Intel Xeon Gold 6434,"24,836"
Intel Xeon Gold 6246 @ 3.30GHz,"24,829"
AMD Ryzen 7 PRO 7840U,"24,824"
Intel Xeon Gold 6143 @ 2.80GHz,"24,786"
Intel Xeon E5-2696 v4 @ 2.20GHz,"24,782"
Intel Xeon Gold 5218R @ 2.10GHz,"24,742"
Intel Xeon Gold 6152 @ 2.10GHz,"24,680"
Intel Core i7-11700K @ 3.60GHz,"24,670"
AMD Ryzen 7 5700G,"24,605"
Intel Core i5-12600HE,"24,599"
Intel Xeon W-1370P @ 3.60GHz,"24,540"
Intel Core Ultra 5 135H,"24,500"
AMD Ryzen 7 PRO 5750G,"24,461"
Intel Xeon Gold 6140 @ 2.30GHz,"24,368"
Intel Core i5-12600HX,"24,321"
AMD Ryzen 7 7735H,"24,298"
AMD Ryzen 7 7735HS,"24,241"
AMD Ryzen 7 5700,"24,230"
Apple M3 Pro 11 Core,"24,200"
Intel Xeon Gold 5220 @ 2.20GHz,"24,154"
Intel Xeon W-2170B @ 2.50GHz,"24,132"
Intel Xeon E5-2679 v4 @ 2.50GHz,"24,131"
Intel Core i7-11700KF @ 3.60GHz,"24,031"
Intel Xeon W-1390 @ 2.80GHz,"23,902"
Intel Xeon Gold 6122 @ 1.80GHz,"23,781"
Intel Xeon E E-2486,"23,734"
AMD Ryzen 9 6900HS,"23,718"
Intel Xeon E-2388G @ 3.20GHz,"23,711"
Intel Xeon W-11865MRE @ 2.60GHz,"23,702"
AMD Ryzen 7 3800XT,"23,625"
Intel Xeon E5-2698 v4 @ 2.20GHz,"23,617"
Intel Core i9-7920X @ 2.90GHz,"23,616"
AMD Ryzen 9 5980HX,"23,578"
AMD EPYC 7351,"23,566"
Intel Xeon Silver 4410Y,"23,554"
AMD Ryzen 7 6800H,"23,533"
Intel Core i7-13705H,"23,480"
AMD EPYC 7F32,"23,453"
Intel Xeon W-1370 @ 2.90GHz,"23,449"
Intel Xeon W-2175 @ 2.50GHz,"23,432"
Intel Core i5-13500T,"23,346"
Intel Xeon E-2456,"23,330"
Intel Xeon Gold 6146 @ 3.20GHz,"23,296"
Intel Xeon Platinum 8176 @ 2.10GHz,"23,179"
AMD Ryzen 7 3800X,"23,175"
AMD Ryzen Threadripper 1920X,"23,136"
Intel Core i7-12650H,"23,116"
Intel Core i7-13700TE,"23,074"
AMD Ryzen 7 PRO 6850H,"22,975"
Intel Core i9-10900K @ 3.70GHz,"22,974"
Intel Core i9-11900 @ 2.50GHz,"22,956"
Intel Core i5-13500H,"22,949"
AMD Ryzen 5 7640HS,"22,930"
AMD Ryzen 7 PRO 3700,"22,930"
AMD Ryzen 5 PRO 7640HS,"22,923"
Intel Core i9-11900KB @ 3.30GHz,"22,901"
Intel Core i9-11980HK @ 2.60GHz,"22,889"
AMD Ryzen 9 PRO 6950HS,"22,861"
AMD Ryzen 7 6800HS,"22,852"
Intel Core i7-11700B @ 3.20GHz,"22,851"
Intel Xeon E-2436,"22,775"
Intel Xeon Gold 6138 @ 2.00GHz,"22,765"
Intel Core i5-12600H,"22,742"
Intel Xeon W-11955M @ 2.60GHz,"22,733"
Intel Xeon Platinum P-8124 @ 3.00GHz,"22,674"
Intel Core i9-10900KF @ 3.70GHz,"22,653"
Intel Xeon Silver 4310 @ 2.10GHz,"22,642"
AMD Ryzen 9 5900HX,"22,617"
AMD Ryzen 7 3700X,"22,580"
Intel Core i9-11900F @ 2.50GHz,"22,580"
Intel Core i9-10900X @ 3.70GHz,"22,490"
Intel Xeon W-1290P @ 3.70GHz,"22,478"
AMD EPYC 7551,"22,463"
Intel Core i9-10850K @ 3.60GHz,"22,460"
AMD Ryzen 9 PRO 6950H,"22,452"
Intel Core i5-14500T,"22,398"
Intel Xeon E5-2696 v3 @ 2.30GHz,"22,366"
Intel Xeon W-2255 @ 3.70GHz,"22,321"
Intel Xeon E5-2699C v4 @ 2.20GHz,"22,308"
Montage Jintide C5318Y,"22,237"
AMD Ryzen 7 5700GE,"22,196"
AMD Ryzen 7 7736U,"22,195"
AMD Ryzen 9 5900HS Creator Edition,"22,138"
AMD Ryzen 5 5600X3D,"22,117"
AMD Ryzen 9 6900HS Creator Edition,"22,094"
AMD Ryzen Threadripper 1920,"22,066"
Apple M1 Max 10 Core 3200 MHz,"22,016"
AMD Ryzen 7 6800HS Creator Edition,"22,007"
AMD Ryzen 7 PRO 6850HS,"21,998"
Intel Xeon Gold 5218 @ 2.30GHz,"21,986"
AMD Ryzen 7 PRO 5750GE,"21,967"
Intel Xeon Gold 6132 @ 2.60GHz,"21,947"
AMD Ryzen 5 5600X,"21,912"
AMD Ryzen 5 PRO 5645,"21,904"
Intel Core i9-9900X @ 3.50GHz,"21,817"
AMD Ryzen 7 Pro 7735U,"21,814"
Intel Xeon Gold 6130T @ 2.10GHz,"21,804"
Apple M1 Pro 10 Core 3200 MHz,"21,795"
AMD Ryzen 9 5900HS,"21,783"
AMD Ryzen 5 8500G,"21,705"
AMD EPYC 7281,"21,621"
Intel Xeon E7-8891 v3 @ 2.80GHz,"21,615"
Intel Core i7-12700T,"21,594"
Intel Core i9-10910 @ 3.60GHz,"21,593"
AMD Ryzen 5 7640U,"21,592"
Apple M2 Pro 10 Core 3480 MHz,"21,579"
AMD Ryzen 5 5600,"21,570"
Intel Xeon Gold 6334 @ 3.60GHz,"21,521"
Intel Core i5-13500TE,"21,478"
Intel Xeon Gold 5218T @ 2.10GHz,"21,433"
AMD Ryzen 7 7735U,"21,428"
Intel Core i5-12500H,"21,427"
Intel Xeon Gold 6136 @ 3.00GHz,"21,413"
Intel Core Ultra 5 125H,"21,385"
Intel Core i9-11950H @ 2.60GHz,"21,380"
AMD Ryzen 9 5980HS,"21,320"
Intel Core i5-12600,"21,285"
Intel Xeon E5-2697A v4 @ 2.60GHz,"21,222"
Intel Xeon E-2378G @ 2.80GHz,"21,218"
Intel Core i9-7900X @ 3.30GHz,"21,173"
AMD Ryzen 7 5800HS Creator Edition,"21,166"
Intel Core i5-13400T,"21,110"
AMD Ryzen 7 5800H,"21,090"
Intel Core i7-11700F @ 2.50GHz,"21,058"
Intel Xeon W-2155 @ 3.30GHz,"21,032"
Intel Core i7-7900X @ 3.30GHz,"21,008"
Intel Xeon Silver 4310T @ 2.30GHz,"20,973"
Intel Xeon Gold 6250 @ 3.90GHz,"20,915"
Intel Xeon E5-2686 v4 @ 2.30GHz,"20,901"
AMD Ryzen 7 PRO 6850U,"20,877"
AMD Ryzen 7 PRO 6860Z,"20,863"
Intel Xeon E5-2697R v4 @ 2.30GHz,"20,843"
Intel Xeon Gold 5315Y @ 3.20GHz,"20,820"
AMD Ryzen 5 PRO 5650G,"20,808"
AMD EPYC 7262,"20,795"
Intel Xeon E5-2697 v4 @ 2.30GHz,"20,758"
Intel Xeon E5-2673 v4 @ 2.30GHz,"20,709"
Intel Core i5-12500E,"20,699"
Intel Core i9-11900H @ 2.50GHz,"20,661"
AMD Ryzen 7 6800U,"20,649"
Intel Xeon Gold 6138T @ 2.00GHz,"20,649"
Intel Core i7-11800H @ 2.30GHz,"20,645"
Intel Xeon D-2753NT @ 2.00GHz,"20,626"
Intel Core i7-11850H @ 2.50GHz,"20,619"
Intel Xeon Silver 4216 @ 2.10GHz,"20,613"
Intel Core i7-1280P,"20,604"
AMD Ryzen 9 5900H,"20,557"
Intel Xeon W-2150B @ 3.00GHz,"20,549"
Intel Core i5-12490F,"20,523"
AMD EPYC 8024P,"20,497"
AMD Ryzen 7 PRO 4750G,"20,477"
AMD Ryzen 5 5500GT,"20,436"
Intel Xeon Gold 6226 @ 2.70GHz,"20,429"
Intel Xeon Gold 6130 @ 2.10GHz,"20,411"
Intel Core i7-1370P,"20,372"
Intel Xeon E5-2699 v3 @ 2.30GHz,"20,339"
Intel Xeon E5-4667 v4 @ 2.20GHz,"20,319"
Intel Core i5-1250P,"20,287"
Intel Xeon D-1747NTE @ 2.50GHz,"20,279"
AMD Ryzen 7 5800HS,"20,189"
AMD Ryzen 7 4700G,"20,143"
Intel Xeon W-1290 @ 3.20GHz,"20,123"
Intel Xeon Gold 6262 @ 1.90GHz,"20,122"
Intel Core i9-10900F @ 2.80GHz,"20,062"
Intel Core i5-1350P,"20,053"
Intel Core i9-9820X @ 3.30GHz,"20,045"
Intel Core i5-1340PE,"20,041"
Intel Xeon Gold 6144 @ 3.50GHz,"19,993"
Intel Core i5-12500,"19,927"
AMD Ryzen 5 5600G,"19,901"
Intel Core i9-10900 @ 2.80GHz,"19,888"
AMD Ryzen 7 4700GE,"19,831"
Intel Xeon W-1350P @ 4.00GHz,"19,821"
Intel Core i7-11700 @ 2.50GHz,"19,813"
AMD Ryzen 7 PRO 4700G,"19,786"
Intel Xeon E5-2695 v4 @ 2.10GHz,"19,699"
AMD Ryzen 7 PRO 7730U,"19,688"
Intel Core i5-11600KF @ 3.90GHz,"19,670"
Intel Core i5-11600K @ 3.90GHz,"19,648"
Intel Xeon E5-2690 v4 @ 2.60GHz,"19,647"
Intel Xeon E-2386G @ 3.50GHz,"19,613"
Intel Core i5-12400F,"19,544"
AMD EPYC 3451,"19,532"
Intel Core i9-9900KS @ 4.00GHz,"19,525"
Apple M3 8 Core,"19,511"
Intel Core i9-10900E @ 2.80GHz,"19,478"
Intel Core i7-1360P,"19,472"
Intel Xeon W-2245 @ 3.90GHz,"19,469"
AMD Ryzen 5 5500,"19,464"
AMD Ryzen 5 5600GT,"19,435"
Intel Core i5-12400,"19,427"
AMD EPYC 7252,"19,411"
Intel Xeon D-2183IT @ 2.20GHz,"19,377"
Intel Xeon Gold 6137 @ 3.90GHz,"19,365"
AMD Ryzen 5 7540U,"19,213"
AMD Ryzen 9 4900H,"19,171"
Intel Core i5-1340P,"19,145"
Intel Xeon D-2752TER @ 1.80GHz,"19,102"
Intel Xeon Silver 4309Y @ 2.80GHz,"19,100"
AMD Ryzen 5 PRO 6650H,"19,094"
Intel Core i5-12450HX,"19,048"
AMD Ryzen 9 4900HS,"19,042"
Intel Xeon W-1350 @ 3.30GHz,"19,015"
Intel Xeon Gold 6244 @ 3.60GHz,"18,980"
Intel Xeon E5-2676 v4 @ 2.40GHz,"18,978"
Intel Core i9-11900T @ 1.50GHz,"18,968"
